part,resource,sequence,tool_number,tool_description
A0156,350,1,13,.460 CARBIDE DRILL
A0156,350,2,32,.75 CARBIDE TIP DRILL
A0156,350,3,1,"1.0"" 90 DEG. SPOT DRILL"
A0156,350,4,4,1/2-13 ROLLFORM TAP
A0156,410,1,93,.750 SUMO INSERT DRILL
A0156,410,2,90,11.7 MM .460 CARBIDE DRILL
A0156,410,3,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A0156,410,4,58,1/2-13 ROLL FORM TAP
A0217-12,415,1,90,PROBE
A0217-12,415,2,18,4.0 DIA. FACEMILL
A0217-12,415,3,19,3.0 DIA. FACEMILL
A0217-12,415,4,90,PROBE
A0217-12,415,5,21,21/32 CARBIDE DRILL
A0217-12,415,6,3,45 DEGREE CHAMFER TOOL
A0217-12,415,7,28,3/4-10 TAP
A0217-12,415,8,87,27/64 CARBIDE DRILL
A0217-12,415,9,7,1/2-13 TAP
A0273,410,1,15,"1.5"" TURBO MILL"
A0273,410,2,13,3/4 TURBO MILL
A0273,410,3,37,#5 CENTER DRILL
A0273,410,4,12,.250 DRILL
A0273,410,5,117,31/64 DRILL
A0273,410,6,71,.501 SLIP FIT REAMER
A0885,410,1,87,11/32 .343 CARBIDE DRILL
A0885,410,2,56,3/8-16 ROLL FORM TAP
A0885,410,3,89,13/32 .406 CARBIDE DRILL
A0885,410,4,49,3/8 CARBIDE ENDMILL
A0886,410,1,15,"1.25"" TURBO MILL"
A0886,410,2,93,.752 SPADE DRILL
A0886,410,3,37,#5 CENTER DRILL
A0886,410,4,84,"LETTER ""F"" DRILL"
A0886,410,5,98,11/16 SPADE DRILL
A0886,410,6,19,45 DEGREE CHAMFER TOOL
A0886,410,7,62,3/4-16 +.005 TAP
A0900,410,1,1,PROBE
A0900,410,2,96,21/32 .656 CARBIDE DRILL
A0900,410,3,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A0900,410,4,60,3/4-10 HIGH HELIX BOTTOM TAP
A0900,410,5,122,3/16 CARBIDE ENDMILL
A0900,410,6,78,1/8 .125 CARBIDE DRILL
A0974,340,1,1,#5 C'DRILL
A0974,340,2,4,#25 DRILL
A0974,340,3,55,10-24 TAP
A0974,350,1,8,.1695 CARBIDE DRILL
A0974,350,2,1,1.0 90 DEGREE SPOT DRILL
A0974,350,3,5,10-24 ROLLFORM TAP
A0974,410,1,80,#18 .169 CARBIDE DRILL
A0974,410,2,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A0974,410,3,53,10-24 ROLL FORM TAP
A10027,350,1,1,1.0 SPOT DRILL
A10027,350,2,13,"27/64"" DRILL"
A10027,350,3,4,1/2-13 TAP
A10028,410,1,1,PROBE
A10028,410,2,18,4.0 DIA. HIGH SHEAR FACEMILL
A10028,410,3,112,1.230 DIA. CARB. DRILL
A10028,410,4,38,#5 C'DRILL
A10028,410,5,85,9/32 DRILL
A10028,410,6,22,1/4 CARBIDE ENDMILL
A10028,410,7,81,3/16 DRILL
A10028,410,8,29,1.251 - 1.256 DIA. BORING BAR
A10034,350,1,35,"1.25"" TURBO MILL"
A10034,350,2,32,"25/32"" SPADE DRILL"
A10042,350,1,32,0.78125 CARBIDE DRILL
A10042,350,2,1,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A10042,410,1,92,25/32 .781 SUMO INSERT DRILL
A10042,410,2,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A10048,350,1,35,"1.25"" TURBO MILL"
A10048,350,2,32,.754 CARB TIP DRILL
A10048,350,3,34,"5/8"" CARBIDE END MILL 6.51"" DIAMETER"
A10048,350,4,34,"5/8"" CARBIDE END MILL 6.61"" DIAMETER"
A10048,415,1,52,"1.25"" TURBO MILL"
A10048,415,2,5,".754"" SPADE DRILL"
A10048,415,3,36,"5/8"" CARBIDE END MILL 6.62"" DIAMETER"
A10063,350,1,38,"1-3/16"" SPADE DRILL"
A10063,350,2,34,"5/8"" CARBIDE END MILL"
A10063,350,3,12,"13/32"" CARBIDE DRILL"
A10084,350,1,27,"4.0"" FACE MILL OP2"
A10084,350,2,27,"4.0"" FACE MILL OP2"
A10084,350,3,35,"1.25"" TURBO MILL OP1"
A10084,350,4,37,"1.0"" CARBIDE END MILL OP1"
A10084,350,5,38,25.0 MM SPADE DRILL OP1
A10084,350,6,30,"1.002"" REAMER OP1"
A10099,350,1,39,1.75 CARB DRILL
A10099,350,2,33,1/2 END MILL
A10099,350,3,8,9/32 CARBIDE DRILL
A10099,350,4,10,1/4 CARBIDE DRILL
A10099,350,5,16,"1/4"" S.F. REAMER"
A10099,410,1,108,1.75 CARB DRILL
A10099,410,2,14,"1.0"" DIA. TURBO MILL"
A10099,410,3,25,5/8 CARBIDE ENDMMILL
A10099,410,4,85,9/32 .281 CARBIDE DRILL
A10099,410,5,66,1/4 .250 CARBIDE DRILL
A10099,410,6,67,"1/4"" S.F. REAMER"
A1015,340,1,1,#5 C'DRILL
A1015,340,2,10,13/32 DRILL
A10402,350,1,1,#5 CENTER DRILL
A10402,350,2,31,"17/32"" DRILL"
A10412,350,1,8,"""F"" .257"" CARBIDE DRILL"
A10412,350,2,12,13/32 CARBIDE DRILL
A10412,350,3,14,"17/32"" CARBIDE DRILL"
A10412,350,4,1,"1.0"" NC SPOT DRILL"
A10412,350,5,5,"5/16-18"" TAP"
A10412,350,6,6,3/8 COUNTER BORE
A10412,350,7,36,"3/4"" CARBIDE END MILL"
A10412,350,8,16,"5/8-11"" TAP"
A10413,350,1,39,"CARB DRILL 1.22"""
A10413,350,2,22,"1.0"" TURBO MILL"
A10413,350,3,36,3/4 FLAT ENDMILL
A10413,350,4,9,45' CHAMFER SECO SET CC TO .47
A10413,350,5,8,.106 CARBIDE DRILL
A10413,350,6,20,"347""  CARBIDE DRILL"
A10413,350,7,1,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A10413,350,8,3,3/8-16 ROLLFORM TAP
A10414,350,1,38,1.125 CARBIDE TIP DRILL
A10414,350,2,19,.2188 CARBIDE DRILL
A10414,350,3,8,.1875 CARBIDE DRILL
A10414,350,4,16,1/2 82' C'SINK
A10415,350,1,8,.1875 CARBIDE DRILL
A10415,350,2,1,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A10415,410,1,1,PROBE
A10415,410,2,81,3/16 .1875 CARBIDE DRILL
A10415,410,3,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A10415,410,4,1,
A10424,350,1,32,".752"" SPADE DRILL"
A10425,350,1,32,"47/64"" SPADE DRILL"
A10425,350,2,29,.751 REAMER
A10425,350,3,1,#5 CENTER DRILL
A10425,350,4,12,"13/32"" DRILL"
A10425,350,5,20,"11/32"" DRILL"
A10425,350,6,8,23/64 DRLL
A10425,350,7,25,"3/8"" P.F. REAMER"
A10426,350,1,24,"3/8"" CARBIDE END MILL OP2"
A10426,350,2,35,"1.25"" TURBO MILL OP1"
A10426,350,3,1,#5 CENTER DRILL OP1
A10426,350,4,11,"5/16"" DRILL OP1"
A10426,350,5,3,3/8-16 TAP OP1
A10426,350,6,20,"11/32"" DRILL OP1"
A10426,350,7,8,"3/8"" STAB OR 23/64 DRILL OP1"
A10426,350,8,25,"3/8"" S.F. REAMER OP1"
A10427,350,1,1,#5 CENTER DRILL
A10427,350,2,12,"13/32"" DRILL"
A10427,350,3,32,"25/32"" SPADE DRILL"
A10427,410,1,1,#5 CENTER DRILL
A10427,410,2,12,"13/32"" DRILL"
A10427,410,3,32,"25/32"" SPADE DRILL"
A10430,350,1,39,"1.25"" CARB DRILL"
A10430,350,2,22,"1.0"" TURBO MILL"
A10430,350,3,29,"1.377"" BOR BAR"
A10440,350,1,1,#5 CENTER DRILL
A10440,350,2,16,"9/16"" DRILL"
A10440,350,3,11,"5/16"" DRILL"
A10440,350,4,3,3/8-16 TAP
A10443,410,1,1,PROBE
A10443,410,2,99,"3/4"" LONG CARBIDE END MILL OP2"
A10443,410,3,17,"3.0"" FACE MILL OP1"
A10443,410,4,111,"1.435"" CARB DRILL OP1"
A10443,410,5,14,"1.0"" TURBO OP1"
A10443,410,6,51,"3/4"" CARBIDE END MILL OP1"
A10443,410,7,38,#6 CENTER DRILL OP1
A10443,410,8,117,# 7 HSS DRILL OP1
A10443,410,9,89,"13/32"" HSS DRILL OP1"
A10446,415,1,83,"13/32"" CARBIDE DRILL B0"
A10446,415,2,61,5/16 .3125 CARBIDE DRILL B180
A10446,415,3,12,3/8-16 TAP B180
A10449,410,1,37,#5 CENTER DRILL B0
A10449,410,2,84,F .257 DRILL B0
A10449,410,3,22,"1/4"" CARBIDE END MILL B0"
A10453,350,1,40,"2.25"" CARB DRILL"
A10453,350,2,35,"1.25"" TURBO MILL"
A10453,350,3,34,"5/8"" CARBIDE END MILL"
A10453,350,4,1,#5 CENTER DRILL
A10453,350,5,14,"17/32"" DRILL"
A10463,410,1,15,"1.25"" TURBO MILL B90"
A10463,410,2,97,"17/32"" HSS DRILL B90"
A10463,410,3,112,1.230 CARB DRILL B0
A10463,410,4,14,"1.0"" TURBO B0"
A10463,410,5,28,"1.252"" REAMER B0"
A10463,410,6,77,1.002 REAMMER
A10470,410,1,97,17/32 CARBIDE DRILL
A10470,410,2,94,13/16 .8125 SUMO INSERT DRILL
A10470,410,3,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A10473,350,1,28,"2.0"" TURBO"
A10473,350,2,1,#5 CENTER DRILL
A10473,350,3,14,"17/32"" DRILL"
A10473,350,4,5,"5/8-11"" TAP"
A10474,350,1,40,"2.25"" CARB DRILL"
A10474,350,2,15,"21/32"" CARBIDE DRILL"
A10474,350,3,13,"27/64"" CARBIDE DRILL"
A10474,350,4,4,1/2-13 TAP
A10476,410,1,15,1.25 DIA. TURBO MILL
A10476,410,2,96,21/32 .656 CARBIDE DRILL
A10476,410,3,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A10479,350,1,31,"21/32"" SPADE DRILL"
A10480,410,1,1,PROBE
A10480,410,2,89,13/32 .406 CARBIDE DRILL
A10480,410,3,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A10480,410,4,15,1.25 DIA. TURBO MILL
A10480,410,5,17,"3.0"" DIA. FACEMILL"
A10480,410,6,89,13/32 .406 CARBIDE DRILL
A10480,410,7,24,1/2 CARBIDE ENDMILL
A10480,410,8,19,45 DEGREE CHAMFER TOOL C.C. .4700
A10485,350,1,1,#5 CENTER DRILL
A10485,350,2,12,"13/32"" DRILL"
A10485,350,3,11,"5/16"" DRILL"
A10485,350,4,3,3/8-16 TAP
A10491,410,1,17,3.0 DIA. FACEMILL
A10491,410,2,87,11/32 .343 CARBIDE DRILL
A10491,410,3,89,13/32 .406 CARBIE DRILL
A10491,410,4,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A10491,410,5,56,3/8-16 ROLL FORM TAP
A10491,410,6,19,45 DEGREE CHAMFER TOOL C.C. .4700
A10493,410,1,89,13/32 .406 CARBIDE DRILL
A10493,410,2,87,11/32 .343 CARBIDE DRILL
A10493,410,3,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A10493,410,4,56,3/8-16 ROLL FORM TAP
A10498,410,1,24,1/2 CARBIDE ENDMILL
A10498,410,2,85,9/32 .281 CARBIDE DRILL
A10498,410,3,124,82 DEGREE COUNTERSINK
A10499,350,1,35,"1.25"" TURBO MILL"
A10499,350,2,36,"3/4"" CARBIDE END MILL"
A10499,350,3,38,"1-1/8"" SPADE DRILL"
A10499,350,4,37,"3/4"" TURBO"
A10499,350,5,29,"1.253"" BOR BAR"
A10509,350,1,40,"2.25"" CARB DRILL"
A10509,350,2,35,"1.25"" TURBO MILL"
A10509,350,3,20,.328 CARBIDE DRILL
A10509,350,4,6,"5/16"" C'BORE"
A10509,350,5,37,"1.0"" CARBIDE END MILL"
A10509,350,6,37,"1.0"" CARBIDE END MILL"
A10521,410,1,23,3/8 CARBIDE ENDMILL
A10521,410,2,85,9/32 CARBIDE DRILL
A10525,350,1,38,25.0 MM SPADE DRILL
A10525,350,2,30,"1.002"" REAMER"
A10525,350,3,35,"1.25"" TURBO MILL"
A10525,350,4,37,"1.0"" CARBIDE END MILL"
A10530,350,1,31,17/32 SPADE DRILL
A10530,350,2,33,1/2 CARBIDE ENDMILL
A10533,410,1,15,"1.25"" TURBO MILL B0"
A10533,410,2,99,"3/4"" END MILL B0"
A10533,410,3,37,#6 CENTER DRILL B0
A10533,410,4,89,"13/32"" HSS DRILL B90"
A10533,410,5,44,"3/8"" COUNTER BORE B90"
A10533,410,6,86,"5/16"" HSS DRILL B0"
A10533,410,7,56,"3/8-16"" TAP B0"
A10548,350,1,33,"1/2"" CARBIDE END MILL"
A10548,350,2,1,#5 CENTER DRILL
A10548,350,3,10,"#40 .098"" HSS DRILL"
A10548,350,4,8,9/32 DRILL
A1056,410,1,1,PROBE
A1056,410,2,15,1.25 TURBO MILL
A1056,410,3,113,1.125 DIA. CARB. DRILL
A1056,410,4,14,1.0 TURBO MILL
A1056,410,5,37,#5 C-DRILL
A1056,410,6,84,"LETTER ""F"" DRILL"
A1056,410,7,55,5/16-18 HIGH SPEED TAP
A1056,410,8,98,11/16 SPADE DRILL
A1056,410,9,19,45 DEGREE CHAMFER TOOL
A1056,410,10,62,3/4-16 +.005 TAP
A1056,410,11,28,1.252 - 1.254 DIA. BORE
A1056,410,12,1,PROBE
A1056,410,13,14,1.0 TURBO MILL
A10563,350,1,14,17/32 CARBIDE DRILL
A10563,350,2,1,"1.0"" 90 DEGREE SPOT DRILL"
A10563,410,1,97,17/32 .531 CARBIDE DRILL
A10563,410,2,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A10563,415,1,44,17/32 CARBIDE DRILL
A10564,350,1,38,25.0 MM SPADE DRILL
A10564,350,2,29,"1.002"" REAMER"
A10564,350,3,22,"1.0"" TURBO MILL"
A10565,350,1,38,25.0 MM SPADE DRILL
A10565,350,2,29,"1.002"" REAMER"
A10565,350,3,22,"1.0"" TURBO MILL"
A10568,410,1,97,17/32 DIA. SPADE DRILL G54 B0
A10568,410,2,37,#6 C'DRILL G55 B90
A10568,410,3,85,9/32 DRILL G55 B90
A10581,350,1,32,.752 SPADE DRILL
A10581,350,2,35,"1.25"" TURBO MILL"
A10581,350,3,36,"3/4"" CARBIDE END MILL"
A10582,350,1,37,"3/16"" CARBIDE END MILL"
A10582,350,2,29,"1/8"" CARBIDE DRILL"
A10585,350,1,1,#5 CENTER DRILL
A10585,350,2,19,#7 .201 DRILL
A10585,350,3,2,1/4-20 TAP
A10587,350,1,12,"13/32"" CARBIDE DRILL"
A10587,350,2,1,"1.0"" X 90 DEG SPOTDRILL"
A10587,410,1,89,13/32 .406 CARBIDE DRILL
A10596,350,1,35,"1.25"" TURBO MILL"
A10596,350,2,38,25.0 MM SPADE DRILL
A10596,350,3,36,"3/4"" CARBIDE END MILL"
A10598,410,1,111,1.370 CARB DRILL OP2 B0
A10598,410,2,14,"1.0"" TURBO MILL OP2 B0"
A10598,410,3,13,"3/4"" TURBO OP2 B0"
A10598,410,4,51,"3/4"" CARBIDE END MILL OP2 B0"
A10598,410,5,37,#6 CENTER DRILL OP2 B90
A10598,410,6,90,"27/64"" DRILL OP2 B90"
A10598,410,7,58,1/2-13' TAP OP2 B90
A10598,410,8,15,"1.25"" TURBO MILL OP1"
A10599,410,1,37,#6 CENTER DRILL OP2 B90
A10599,410,2,82,#7 HSS DRILL OP2 B90
A10599,410,3,54,"1/4-20"" TAP OP2 B90"
A10599,410,4,110,"1.5"" CARB DRILL OP1 B0"
A10599,410,5,114,"1.25"" SPADE DRILL OP1 B0"
A10599,410,6,15,"1.25"" TURBO MILL OP1 B0"
A10599,410,7,97,"17/32"" SPADE DRILL OP1 B270"
A10599,410,8,24,"1/2"" CARBIDE END MILL OP1 B270"
A10599,410,9,59,"5/8-11"" TAP OP1 B270"
A10599,410,10,30,"1.626"" BOR BAR OP1 B0"
A10604,410,1,37,#6 CENTER DRILL OP2 B270
A10604,410,2,82,# 7 HSS DRILL OP2 B270
A10604,410,3,54,"1/4-20"" TAP OP2 B270"
A10604,410,4,110,"1.5"" CARB DRILL OP1 B0"
A10604,410,5,114,"1.25"" SPADE DRILL OP1 B0"
A10604,410,6,15,"1.25"" TURBO MILL OP1 B0"
A10604,410,7,97,"17/32"" SPADE DRILL OP1 B270"
A10604,410,8,96,"21/32"" SPADE DRILL OP1 B270"
A10604,410,9,24,"1/2"" CARBIDE END MILL OP1 B270"
A10604,410,10,59,"5/8-11"" TAP OP1 B270"
A10604,410,11,30,"1.626"" BOR BAR OP1 B0"
A10606,410,1,108,1.75 CARB DRILL
A10606,410,2,111,1.370 CARB DRILL
A10606,410,3,29,1.378/1.383 BORE BAR
A10606,410,4,14,"1.0"" TURBO ROUGH 1.378"" ?"
A10606,410,5,51,"3/4"" CARBIDE END MILL FINISH 1.375"" ?"
A10606,410,6,19,45?CHAMFER
A10607,415,1,35,"1.0"" SPOT DRILL B51 OP2"
A10607,415,2,8,"17/32"" HSS DRILL B51 OP2"
A10607,415,3,55,5/8-11 TAP B51 OP2
A10607,415,4,52,1.25 TURBO MILL OP1
A10607,415,5,80,"1.0"" HELIX END MILL OP1"
A10607,415,6,16,"47/64"" .734 SPADE DRILL OP1"
A10607,415,7,37,"1/2"" HELIX END MILL OP1 B0"
A10607,415,8,35,"1.0"" SPOT DRILL OP1 B0"
A10607,415,9,8,"17/32"" HSS DRILL B90 OP1"
A10607,415,10,55,5/8-11 TAP B90 OP1
A10607,415,11,3,45 CHAMFER TOOL
A10611,350,1,40,"2.25"" CARB DRILL"
A10611,350,2,35,"1.25"" TURBO MILL"
A10611,350,3,1,#5 CENTER DRILL
A10611,350,4,10,"31/64"" HSS DRILL"
A10611,350,5,5,"9/16-12"" TAP"
A10620,410,1,85,9/32 .281 CARBIDE DRILL
A1063,410,1,93,.752 SPADE DRILL
A10632,350,1,16,.754 CARB TIP DRILL
A10632,410,1,93,3/4 .750 SUMO INSERT DRILL
A10632,410,2,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A10632,410,3,74,.752 DIA. REAMER
A10633,350,1,28,"2.0"" TURBO OP2"
A10633,350,2,28,"2.0"" TURBO OP1 - MINIMAL CLEAN-UP"
A10633,350,3,37,"3/4"" TURBO OP1"
A10633,350,4,33,"1/2"" LONG CARBIDE END MILL OP1"
A10633,350,5,38,25.0 MM SPADE DRILL OP1
A10633,350,6,29,"1.002"" REAMER OP1"
A10635,350,1,38,"1-1/8"" SPADE DRILL"
A10636,350,1,28,"2.0"" TURBO OP2"
A10636,350,2,28,"2.0"" TURBO OP1 - MINIMAL CLEAN-UP"
A10636,350,3,37,"3/4"" TURBO OP1"
A10636,350,4,33,"1/2"" LONG CARBIDE END MILL OP1"
A10636,350,5,32,.752 SPADE DRILL
A10651,410,1,87,11/32 .343 CARBIDE DRILL*B90*
A10651,410,2,90,11.7 MM .460 CARBIDE DRILL B ZERO
A10651,410,3,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A10651,410,4,56,3/8-16 ROLL FORM TAP *B90*
A10651,410,5,58,1/2-13 ROLL FORM TAP B ZERO
A10657,350,1,22,"1.0"" DIA. TURBO MILL"
A10657,350,2,32,.752 DIA. SPADE DRILL
A10659,410,1,89,13/32 .406 CARBIDE DRILL *B90*
A10659,410,2,97,17/32 .531 CARBIDE DRILL *B ZERO*
A10659,410,3,8,"1.0"" 90 DEGREE SPOT DRILL *B ZERO*"
A1065B,350,1,38,"1-5/16"" SPADE DRILL"
A1065B,350,2,22,"1.0"" TURBO MILL"
A1065B,350,3,34,"5/8"" CARBIDE END MILL"
A1065B,350,4,31,"39/64"" SPADE DRILL"
A1065B,350,5,1,"1.0"" NC SPOT DRILL"
A1065B,350,6,29,"5/8"" REAMER"
A1065B,350,7,8,"#32 .116"" HSS DRILL"
A1065B,350,8,30,".125"" S.F. REAMER"
A1065B,350,9,10,"35/64"" HSS DRILL"
A1065B,410,1,116,"1-5/16"" SPADE DRILL"
A1065B,410,2,14,"1.0"" TURBO MILL"
A1065B,410,3,25,"5/8"" CARBIDE END MILL"
A1065B,410,4,98,"39/64"" SPADE DRILL"
A1065B,410,5,8,"1.0"" NC SPOT DRILL"
A1065B,410,6,73,"5/8"" REAMER"
A1065B,410,7,78,"#32 .116"" HSS DRILL"
A1065B,410,8,120,".125"" S.F. REAMER"
A1065B,410,9,117,"35/64"" HSS DRILL"
A10662,350,1,35,1.25  DIA. TURBO MILL
A10662,350,2,29,2.001 - 2.003 DIA. BORING BAR
A10663,350,1,35,1.25 DIA. TURBO MILL
A10663,350,2,39,1.98 DIA. CARB. DRILL
A10663,350,3,30,2.001 - 2.003 DIA. BORING BAR
A10669,410,1,97,"17/32"" SPADE DRILL B90"
A10669,410,2,8,"1.0"" SPOT DRILL B90"
A10669,410,3,90,"27/64"" DRILL B0"
A10669,410,4,58,1/2-13' TAP B0
A10670,410,1,17,"3.0"" FACE MILL B90"
A10670,410,2,19,45' CHAMFER TOOL B90
A10670,410,3,97,"17/32"" SPADE DRILL B0"
A10670,410,4,8,"1.0"" SPOT DRILL B0"
A10670,410,5,90,.460 DRILL B90
A10670,410,6,58,1/2-13' TAP B90
A10671,410,1,15,1.25 DIA. TURBO MILL G54 B45
A10671,410,2,18,"4.0"" FACE MILL OP1 B0 - MINIMAL CLEAN UP"
A10671,410,3,8,"1.0"" SPOT DRILL OP1 B0"
A10671,410,4,89,.406 SC DRILL OP1 B90
A10671,410,5,50,"1/2"" CARBIDE END MILL HOG OP1 B0"
A10671,410,6,19,45' CHAMFER TOOL OP1 B0
A10674,350,1,22,"1.0"" TURBO MILL"
A1068,410,1,116,25.0 MM SAPDE DRILL
A1068,410,2,27,1.002 -1.004 BORE
A1068,410,3,13,3/4 TURBO MILL
A1068,410,4,15,"1.25"" TURBO MILL"
A1068,410,5,38,#6 CENTER DRILL
A1068,410,6,117,1/4 DRILL
A10683,350,1,1,#5 CENTER DRILL
A10683,350,2,14,"17/32"" DRILL"
A10684,350,1,1,# 5 CENTER DRILL
A10684,350,2,13,"27/64"" DRILL"
A10684,350,3,4,1/2-13 TAP
A10691,410,1,1,PROBE
A10691,410,2,17,"3.0"" FACE MILL B90"
A10691,410,3,104,"2.25"" CARB DRILL B0"
A10691,410,4,15,"1.25"" TURBO MILL B0"
A10691,410,5,34,2.3745 - 2.3755 DIA. BORING BAR B0
A10691,410,6,33,2.003 - 2.005 DIA. BORING BAR B0
A10691,410,7,97,17/32 CARBIDE DRILL B90
A10691,410,8,24,"1/2"" CARBIDE END MILL B90"
A10693,350,1,1,"1.0"" NC SPOT DRILL"
A10693,350,2,13,"27/64"" DRILL"
A10693,350,3,4,1/2-13 TAP
A10693,410,1,90,11.7 MM .460 CARBIDE DRILL
A10693,410,2,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A10693,410,3,58,1/2-13 ROLL FORM TAP
A10694,350,1,35,"1.25"" TURBO MILL"
A10694,350,2,24,"3/8"" CARBIDE END MILL"
A10694,350,3,31,"21/32"" SPADE DRILL"
A10694,350,4,1,"1.0"" NC SPOT DRILL"
A10694,350,5,5,"3/4-10"" TAP"
A10695,350,1,35,1.25 DIA. TURBO MILL
A10695,350,2,24,"3/8"" DIA. CARBIDE ENDMILL"
A10695,350,3,32,"25/32"" SPADE DRILL"
A10695,350,4,1,"1.0"" NC SPOT DRILL"
A10706,410,1,1,PROBE
A10706,410,2,124,3/4 DIA. 82 DEGREE COUNTESINK
A10713,410,1,104,"2.25"" CARBIDE DRILL"
A10713,410,2,96,.656 SOLID CARBIDE DRILL
A10713,410,3,8,"1.0"" SPOT DRILL"
A10713,410,4,19,45' CHAMFER TOOL
A10713,410,5,51,3/4 ENDMILL
A10717,410,1,92,25/32 .781 SUMO INSERT DRILL
A10717,410,2,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A10718,350,1,11,"5/16"" CARBIDE DRILL OP2"
A10718,350,2,1,"1.0"" NC SPOT DRILL OP2"
A10718,350,3,3,3/8-16 TAP OP2
A10718,350,4,31,"17/32"" SPADE DRILL OP1"
A10718,350,5,1,"1.0"" NC SPOT DRILL OP1"
A10725,350,1,32,".751"" SPADE DRILL"
A10725,350,2,1,"1.0"" NC SPOT DRILL"
A10725,350,3,35,"1.25"" TURBO MILL"
A10727,350,1,1,"1.0"" NC SPOT DRILL"
A10727,350,2,20,"11/32"" DRILL"
A10727,350,3,35,"1.25"" TURBO MILL"
A10728,350,1,1,"1.0"" NC SPOT DRILL"
A10728,350,2,20,"11/32"" DRILL"
A10728,350,3,35,"1.25"" TURBO MILL"
A10738,350,1,28,"2.0"" TURBO OP2"
A10738,350,2,1,"1.0"" NC SPOT DRILL OP1"
A10738,350,3,14,"17/32"" DRILL OP1"
A10738,350,4,7,1/2 COUNTER BORE OP1
A10738,410,1,1,PROBE
A10738,410,2,15,1.25 DIA. TURBO MILL
A10738,410,3,25,5/8 CARBIDE ENDMILL
A10738,410,4,1,PROBE
A10738,410,5,45,.781 DIA. SUMO FLAT BOTTOM INSERT DRILL
A10738,410,6,97,17/32 .531 CARBIDE DRILL
A10738,410,7,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A10739,410,1,110,"1.5"" CARB DRILL OP2 B0"
A10739,410,2,14,"1.0"" TURBO OP2 B0"
A10739,410,3,45,"1/2"" C'BORE OP2 B90"
A10739,410,4,8,"1.0"" SPOT DRILL OP2 B90"
A10739,410,5,30,1.627-1.629  BOR BAR OP2 B0
A10739,410,6,19,45 DEG CHAMFER TOOL
A10739,410,7,28,1.376-1.378 BOR BAR OP2 B0
A10739,410,8,17,"3.0"" FACE MILL OP1"
A10739,410,9,19,45' CHAMFER TOOL OP1 B90
A10739,410,10,8,"1.0"" SPOT DRILL OP2 B90"
A10739,410,11,120,"17/32"" HSS DRILL OP2 B90"
A10743,410,1,114,1.0 SPADE DRILL
A10747,350,1,40,"2.25"" CARB DRILL"
A10747,350,2,35,"1.25"" TURBO MILL"
A10747,350,3,34,"5/8"" CARBIDE END MILL USE HOG WITH CORNER RAD"
A10747,350,4,1,"1.0"" NC SPOT DRILL"
A10747,350,5,12,"13/32"" DRILL"
A10747,350,6,9,45' CHAMFER TOOL
A10749,410,1,115,1.22 SMD DRILL
A10749,410,2,91,.875 SMD DRILL
A10749,410,3,2,1 5/6-12 PORT TOOL METCUT 163-3131
A10749,410,4,63,1-5/16-12 TAPRH
A10749,410,5,85,LONG .269 CARBIDE DRILL
A10749,410,6,8,"1.0"" SPOT DRILL"
A10749,410,7,115,1.22 SMD DRILL
A10749,410,8,5,1.0 SMD DRILL
A10749,410,9,5,1.0 SMD DRILL
A10749,410,10,2,1 5/6-12 PORT TOOL METCUT 163-3131
A10749,410,11,63,1-5/16-12 TAPRH
A10755,410,1,109,"1.625"" CARB DRILL B90"
A10755,410,2,15,"1.25"" TURBO MILL B90"
A10755,410,3,125,"1.0"" LONG FLUTE END MILL B90"
A10755,410,4,19,45' CHAMFER TOOL B90
A10755,410,5,30,1.751 - 1.753 LONG BOR BAR B90
A10764,410,1,1,PROBE
A10764,410,2,98,23/32 .718 SUMO INSERT DRILL
A10764,410,3,25,"5/8"" CARBIDE ENDMILL"
A10764,410,4,8,"1.0"" DIA. 90 DEGREE SPOT DRILL"
A10764,410,5,62,3/4-16 ROLL FORM TAP
A10764,410,6,44,.625 FLAT BOTTOM SUMO INSERT DRILL
A10764,410,7,89,13/32 .406 CARBIDE DRILL
A10764,410,8,1,PROBE
A10764,410,9,17,3.0 FACEMILL
A10775,350,1,35,"1.25"" TURBO MILL"
A10775,350,2,32,.752 DIA. SPADE DRILL
A10777,350,1,22,"1.0"" TURBO MILL"
A10780,350,1,16,".752"" CARBIDE TIP DRILL"
